Query_number,doc_number
1,113691
1,317146
1,444913
1,339944
1,427914
1,451909
1,317416
1,365910
1,260531
1,228960
2,253587
2,418632
2,290521
2,383528
2,439518
2,427690
2,428907
2,280646
2,413834
2,446730
3,412243
3,446120
3,389228
3,401617
3,214775
3,377801
3,449736
3,65388
3,247229
3,25659
4,215320
4,385734
4,377145
4,83789
4,346146
4,255720
4,344796
4,179356
4,442403
4,22112
5,180389
5,258900
5,429555
5,336372
5,398223
5,228885
5,112942
5,194601
5,438362
5,341416
6,342088
6,85102
6,73557
6,248947
6,232970
6,175924
6,294577
6,8609
6,326030
6,283581
7,144307
7,369099
7,427821
7,108290
7,322424
7,296799
7,229311
7,79653
7,341340
7,253898
8,401711
8,109001
8,14705
8,405570
8,403438
8,362404
8,242908
8,334887
8,236500
8,236933
9,382221
9,102770
9,25564
9,342907
9,458903
9,142587
9,300856
9,482031
9,329606
9,50178
10,89072
10,294810
10,391119
10,223063
10,297761
10,242805
10,185566
10,450109
10,57535
10,374419
11,275918
11,155218
11,227359
11,76551
11,49893
11,466378
11,48862
11,68442
11,139959
11,39991
12,446807
12,364960
12,391903
12,250938
12,347188
12,313297
12,164041
12,431277
12,74092
12,366218
13,481938
13,79603
13,54200
13,287137
13,445236
13,148453
13,38966
13,5647
13,412373
13,163563
14,376011
14,120540
14,168580
14,4073
14,400428
14,382539
14,464146
14,60161
14,482219
14,223881
15,442250
15,14387
15,53396
15,284662
15,237381
15,156247
15,107973
15,196037
15,25859
15,259604
16,162017
16,41788
16,314288
16,161097
16,290582
16,321837
16,389979
16,446118
16,366484
16,251748
17,419231
17,429186
17,362324
17,76700
17,304484
17,94406
17,488744
17,190614
17,173814
17,46101
18,426872
18,96953
18,19726
18,179059
18,223887
18,289586
18,350565
18,13449
18,28518
18,169791
19,50831
19,5887
19,342368
19,39104
19,420615
19,277203
19,719
19,294174
19,387800
19,207385
20,197720
20,79672
20,200927
20,401396
20,76827
20,209544
20,30746
20,340924
20,144928
20,89450
21,389777
21,229100
21,250951
21,325730
21,438632
21,218008
21,73600
21,367532
21,131267
21,52407
22,353983
22,404010
22,372369
22,58148
22,498200
22,68253
22,354026
22,497665
22,474192
22,51232
23,92263
23,163112
23,39061
23,178352
23,129160
23,52188
23,207441
23,9026
23,97506
23,354097
24,451729
24,27099
24,226500
24,468558
24,95484
24,15626
24,389793
24,451396
24,388815
24,467061
25,28377
25,191280
25,99235
25,221899
25,353345
25,462871
25,208349
25,257793
25,46832
25,294867
26,88548
26,94651
26,330865
26,257628
26,481721
26,486604
26,145797
26,282806
26,150844
26,247924
27,299523
27,200193
27,437129
27,169225
27,290689
27,88106
27,452384
27,259243
27,193248
27,357626
28,10057
28,403359
28,457684
28,67638
28,157428
28,292675
28,412889
28,189580
28,199690
28,204911
29,134929
29,183536
29,136718
29,51481
29,215162
29,179995
29,35761
29,10984
29,427407
29,17176
30,365299
30,343204
30,171306
30,351135
30,343492
30,193400
30,74334
30,454675
30,458067
30,289997
31,323226
31,418970
31,65801
31,187575
31,212322
31,312600
31,397084
31,222678
31,426330
31,155545
32,323197
32,275802
32,123573
32,444490
32,179279
32,343798
32,307971
32,56423
32,276378
32,377162
33,199273
33,180557
33,372234
33,344066
33,348784
33,271531
33,442610
33,378214
33,478015
33,82580
34,33957
34,395012
34,297324
34,119881
34,424334
34,466194
34,432301
34,442908
34,74661
34,479030
35,219311
35,16406
35,388535
35,424368
35,202945
35,24162
35,445454
35,185155
35,23268
35,63958
36,40790
36,25461
36,98994
36,146992
36,351054
36,224625
36,193548
36,212652
36,44004
36,165060
37,38642
37,189078
37,11073
37,85904
37,256130
37,161112
37,242387
37,276877
37,425487
37,321799
38,238825
38,252482
38,92330
38,118755
38,96288
38,274130
38,154308
38,448650
38,296430
38,51530
39,270699
39,164763
39,88965
39,394557
39,190550
39,17265
39,323743
39,218014
39,3928
39,123558
40,410263
40,37071
40,424443
40,376216
40,483638
40,297277
40,500101
40,461626
40,195939
40,406002
41,255367
41,93305
41,441873
41,201621
41,15039
41,161535
41,273108
41,136010
41,242822
41,81035
42,208993
42,381527
42,225657
42,132139
42,499471
42,382110
42,247726
42,301022
42,268806
42,114348
43,52999
43,220717
43,171753
43,400729
43,109819
43,165246
43,419067
43,114395
43,270062
43,367586
44,491003
44,22010
44,431730
44,459825
44,64256
44,58551
44,425537
44,491788
44,470570
44,201682
45,83702
45,500550
45,405303
45,327960
45,219185
45,464718
45,100912
45,17938
45,38743
45,482109
46,139404
46,419
46,287720
46,182925
46,149700
46,83386
46,242772
46,129286
46,86115
46,204041
47,290143
47,330344
47,343370
47,291831
47,350964
47,186801
47,251363
47,150110
47,256638
47,488741
48,71786
48,377852
48,62861
48,144509
48,72367
48,491144
48,333055
48,383295
48,295651
48,170205
49,417341
49,371479
49,185747
49,259879
49,306965
49,40074
49,239734
49,271948
49,111656
49,166862
50,233609
50,211267
50,338102
50,256521
50,431977
50,253048
50,380517
50,471764
50,91508
50,453453
51,300595
51,222414
51,28518
